"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjW-IsvTYG3LvHCerO8H_Hyr-jr2G8hSd82YElmxDwTdFTw=w54-h54-p-rp-mo-ba2-br100","Insane Science","Local Guide · 11 reviews · 14 photos","","","6 years ago","The Campus Was Awesome Comparing Any other Institutions. There are Many Facility Available there Just love the Environment Inside The Campus.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX8Ghqu3Wy1korBnlgc6f_k9Db0GzeouzDDHA2HrpppnSY=w54-h54-p-rp-mo-br100","Smily Anish Raaz","5 reviews","","","5 years ago","I am working on a social networking site. iit Bombay is very cooperative in the field of any startup. I would like to thanks people who invited me for supporting an Indian company during it's startup.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ_MQUJmJiDI6GNVb7_sjSR69gZAIN2rwrp4UtDe_sg=w54-h54-p-rp-mo-br100","Abu Nasar","5 reviews","","","5 years ago","I have a great site for this time available results and av Balan's I am a Aircel no longer in use and rcv I am a Aircel sum of Aircel sum to the flora park and av receiver and rcv I don't know what you think you are lookin for this domain …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWus-f1Zk07OQrYHzSnB7B8Fyv65Tfra88X6BdgBXDUkp8=w54-h54-p-rp-mo-ba4-br100","Sachin Kumar","Local Guide · 50 reviews · 97 photos","","","3 years ago","Indian Institute of Technology Bombay is a public technical and research university located in Powai, Mumbai, India. IIT Bombay was founded in 1958. In 1961, the Parliament decreed IITs as Institutes of National Importance.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbiXNVWhFGS0QkGAC8iSCO4-XiF8SdLPm8IJ68ScYqbKWZ=w54-h54-p-rp-mo-ba6-br100","Chaaya Chitrakarudu","Local Guide · 295 reviews · 4,274 photos","","","5 years ago","Not just Academic, even the campus itself is Eye catching. If U r a photographer, U've to visit this campus at least once in ur life time. I'm not joking.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIkhVEcc1XQt7PlfaJHkEPBQKWcxfkmbMsHv5ebrlO6=w54-h54-p-rp-mo-br100","Pavan","10 reviews","","","a year ago","Best Institute I have Ever Seen.
Campus is very good","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIGF72bUUmJWED1Lp8vQ-jO-RHswBGzTD9tncrKGpL3JXs=w54-h54-p-rp-mo-ba3-br100","Shiv","Local Guide · 5 reviews · 135 photos","","","8 years ago","Of course! I'm not studying in this mega INSTITUTE, but definitely one fine day I will be there to see the entire campus.
And that day may be when coming  robot fest will be there!","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWPSmItm6vmE85a9kRJxIhwQCWv9lFSbKmr3Zg3y9n1z29M=w54-h54-p-rp-mo-br100","Sagar Johari","22 reviews","","","a year ago","Best Institute I have Ever Seen.
Campus is very good","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUn1XNWcvgFZlH3D9ulEOl9ggNG21fwDcKFJPHtoOz3Xok=w54-h54-p-rp-mo-ba4-br100","Rohith Karthikeyan","Local Guide · 86 reviews · 229 photos","","","6 years ago","It is actually the best IIT in India, more over the student teacher interaction is really good, and seniors show great support to juniors","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXnfUMYHdKR5lkSZm42G17qGvmbR9abFMhpNGCRMsatXBE=w54-h54-p-rp-mo-ba3-br100","TPR Structural Consultancy","Local Guide · 39 reviews · 17 photos","","","5 years ago","Comparably worse in organisation lavel.They are not even capable of organising PhD interviews without clash.I gone to attend for Civil,Aero and Mech and Due to clash between civil and aero on same date and time ,I have not been all to …","More","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW19kWsS5YOe94l-FbRx1SM0QFozN-svHtoiphG2vQUZ3s0=w54-h54-p-rp-mo-ba4-br100","Onkar Dhaigude","Local Guide · 122 reviews · 156 photos","","","6 years ago","The best college in the nation... The cultural fest of this college must be visited atleast once by every student. It is the best cultural fest for people of various interests.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUvKyWldMAOJif3tVcm4OBGhb6pLWRos1ILtGuYnYXdj3Y=w54-h54-p-rp-mo-ba4-br100","deepti shakya","Local Guide · 55 reviews · 27 photos","","","a year ago","IIT have my heart and soul.","","0:08","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXA2KhMrtiIh1yD8RW2alqnIBkMegnRnud4K6oSAe99I1Y=w54-h54-p-rp-mo-br100","d v","1 review · 15 photos","","","6 years ago","Any one knows what will be Chans to getting placement in  Metallurgical Engineering and Materials Science ( steel technolgy) Strem.. .my gate score is 550 Can i appy for these or not. . ./???? Plz sugest me iit bombay student","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVLBLHlMnV7NFoHBHUgpkv6qMFabyaetwoKiVCFuYXb8q4=w54-h54-p-rp-mo-ba7-br100","Mohammed Farzan Ahmed","Local Guide · 1,575 reviews · 3,056 photos","","","7 years ago","I have visited this place, one of the most popular and standard Educational institution of India.
Spacious, nice buildings & canteen, play ground and all necessary facilities available.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXwvdn6HczFovnYw2nHAulRPJljXRVXNldPFgKXy8GvDzM=w54-h54-p-rp-mo-br100","Anubhav Sahu","14 reviews","","","a year ago","Cool in nature, good environment to study and grow, facilities are very good in well trained.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWYzd2zh3_902te1CuwSQ8lvDI6aQ48Y2xJ5mSFd9DeW_0=w54-h54-p-rp-mo-ba5-br100","Naqui Anwer","Local Guide · 275 reviews · 90 photos","","","a year ago","The premier technical institute in the world with best infrastructure and scenic programmes","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXqBT5fp8jwK4anpw6D54IIcc0UPbP5toCNpQnuHSnh_tjp=w54-h54-p-rp-mo-br100","Snehal Gharate","15 reviews · 2 photos","","","a year ago","Best institute for research n best campus..good faculty...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUvwOFmaTYm-XMQsUMV3dTlKzZYQWOpFoTukSojVlKwU0Y=w54-h54-p-rp-mo-ba4-br100","Pramod Singh","Local Guide · 43 reviews · 82 photos","","","6 years ago","Best 2 years of my life","","","+12","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWe8YgQoCiulER1S_isVPJPlN355EWsWFmE15n6-YVmikk=w54-h54-p-rp-mo-br100","ashish kirpal","21 reviews","","","a year ago","Top IIT institute in India for Computer Study
Excellent tech faculty...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVIZaCGzxVd0wfdKdqvGO4lzwqEhEMQhTg6cj5V3zPKYEsd=w54-h54-p-rp-mo-br100","srikanth sindhe","19 reviews","","","a year ago","It prepared nano sniffer and many more, it is advisable institute to study","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJZ_m4wLhIF4EswfCu4ZzEtGAXiTywubol58PHISNtG=w54-h54-p-rp-mo-br100","Dhananjay Tiwari","5 reviews","","","a year ago","Best campus and best place for all aspiring engineering students","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUv2y7KA631C5r6FYDW7IcPAE9wJ5CRDt4wONI-tAM2Vgo=w54-h54-p-rp-mo-br100","Kiran Roy","7 reviews","","","a week ago","Best IIT","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXejG9zjU_kcmcn4570t0KiNRf2QTQ84h5IMzSPwGnN7wE=w54-h54-p-rp-mo-br100","priyanka khatter","20 reviews","","","a year ago","Superb place! Excellent academic experience with best placements.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUy67uOZ5V24JnMfpehysZglBcV6DA_lRCyf52cc2bEagY=w54-h54-p-rp-mo-br100","RODGER YT","1 review","","","3 months ago","Very hard to get admission 😞🙏🏼 …","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVGOBjoErGPPMEBA32sbAWEhyHvUEwILPKgsaxX3EDfyrE=w54-h54-p-rp-mo-ba6-br100","Harikrishnan MV","Local Guide · 456 reviews · 233 photos","","","3 years ago","Working/living here is a one of a kind of experience","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJucIlPRYwxtnGIkbsIYLAMok93vMUuqKXOq-8nalEC=w54-h54-p-rp-mo-ba2-br100","Aman Yadav","Local Guide · 20 reviews · 6 photos","","","6 months ago","Best campus and it is my dream","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLQmcEGYBG4JjVvu2r3cqCWXdvVUIIyMb0AmKUYSKqm=w54-h54-p-rp-mo-ba4-br100","Nishant Malik","Local Guide · 165 reviews · 32 photos","","","6 years ago","Awesome. Natural Greenery. Huge Space. Well Organised Structure. The campus was accepting digital payments within a month of demonetisation and thats incredible.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVa_gV9CH6JpbuikNYYjwAI7D3Ha0b0c6XWP8q9VRk3f3v=w54-h54-p-rp-mo-ba4-br100","Dr. Venkatesh Pandiri","Local Guide · 143 reviews · 110 photos","","","5 years ago","One of the best IIT IN India.  Located in urban place.  The lake and a ride on boat is good experience in the evening.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUYDQNXMuizvKhU8zj4CjjqegICW0f_YaDPzB1MlL5m6PQ=w54-h54-p-rp-mo-ba3-br100","Shubham Bargude","Local Guide · 49 reviews · 46 photos","","","6 years ago","Institute entire in one of the top 5 institute","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsxebVKl-H9PLacehf7a7XzxrgbskAFB2xPUFLLFxmabA=w54-h54-p-rp-mo-ba3-br100","Fais Muhamad","Local Guide · 19 reviews · 49 photos","","","a year ago","One of the best engineering university I have ever seen","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL82nwQyZ0hzkGgEONTHE83SeLCD6Ai3QY6TDDjvInN=w54-h54-p-rp-mo-ba3-br100","Amol Dhonde","Local Guide · 65 reviews · 3 photos","","","a year ago","Education quality is a very good top institute in mumbai","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWUi5e4y2Pm8y1rqL7nonuVzwu1q_iWatBXQBh52UDkkZY=w54-h54-p-rp-mo-ba3-br100","Sachin Borse","Local Guide · 34 reviews · 86 photos","","","a year ago","It is great place to learn...hoghly academic and Research atmosphere...good job placement....plenty foreign collaborations....","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW3iYFkVqmRccF0whGADmewEcP1-OEet2buj_vq99acVg=w54-h54-p-rp-mo-br100","Bunny Wulf Beatbox","7 reviews · 6 photos","","","a year ago","Its just the best institution in India hands down .. its like another city in a city. From people to environment , the aura is just different.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVMIkJc3ZnV4sP5OOHF4rtDuRNxzTKYa45gIiEc8bZK9go=w54-h54-p-rp-mo-ba5-br100","Ravin Chandra","Local Guide · 187 reviews · 307 photos","","","7 years ago","Loved the IIT campus and the facilities. I am sure that it is not a hyped up IIT. I found that many are having cellular network connectivity issues in the campus.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW6XxWHfEmSP7ZiCe-WusaI3mBiK3LWOtQ9vUk1miUViEjE=w54-h54-p-rp-mo-ba5-br100","Jay Patel","Local Guide · 144 reviews · 746 photos","","","7 years ago","Great environment for study..!
Faculty is very good..!
Activities are great..!
Best College to study in India..!","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVGG2uvGhrGduYoajS4IJpOyEMf7SvPAdckK8TO7Q5Y1MsU=w54-h54-p-rp-mo-ba6-br100","Amit Pathak","Local Guide · 406 reviews · 1,241 photos","","","7 years ago","Among the top 10 institute of india in engineering and various branches student all over india and nearby countries comes to achieve the degree .","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUAMLWjiOSuwPAw_9W5vKOaHiaE7nEtF4fapRnkHBYCVJI=w54-h54-p-rp-mo-br100","Rajat arora","9 reviews","","","a year ago","This is one of the world’s best institutes for engineering students","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX9jnbCzT0M5iDtry-7USujkSWmp4AqtIwO3LF4d-um8w=w54-h54-p-rp-mo-br100","Gaurav Paul","40 reviews","","","a year ago","It's one of the best universities all over the world.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUYJF9rzQCb365FG4TGTMmttGab7zrC4XidL0mN8yxzwA=w54-h54-p-rp-mo-br100","ashish singh","18 reviews · 7 photos","","","a year ago","Best institute in India .with great opportunities and skill in college","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIHLg1S5aSAnltM-Q-52rMHdfuDGEk8Cd3oZh3WQKLX=w54-h54-p-rp-mo-ba2-br100","Ujwal Aggarwal","Local Guide · 9 reviews","","","a year ago","Awesome faculty, excellent infrastructure alongwith great facilities.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXyq7qEofnIjt7kWWAGSlndJru33_5UaknZ1RaUznXjveI=w54-h54-p-rp-mo-ba5-br100","Vijay Patil","Local Guide · 271 reviews · 332 photos","","","7 years ago","You will be immersed in the trees, birds, cows, and thousands of students and temples of learning, disconnected from the chaos and dirt outside, creating conducive environment that will let you, if you want to, and if you try to achieve inner peace and even enlightenment.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKI4-ZVkI4D0Gi2cSq8Vn9-QS2hJnLflLowAFGo76vx=w54-h54-p-rp-mo-br100","Rahul sharma","8 reviews","","","a year ago","This is one of the best enginnering institute of India..Top most reputed institute..","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWiqGS4swgKR_0GOXyGDz02AXYmY3Cewr_GtuIiFFAUrg=w54-h54-p-rp-mo-br100","souptik mukherjee","1 review","","","8 years ago","""College of Dreams"" if u study here for 4 years after ur a graduate u may think it was just a dream nd will want to see dat dream again nd again nd again...!!!really a complete college in all spheres:)","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUhdrZH3Rx-QNTO7Wo_druXfUpx1sRkXMzSFdF0uYp_tkE=w54-h54-p-rp-mo-br100","Hima Bindu Kasa","5 reviews · 1 photo","","","6 years ago","Great institute among greenery and high quality education. Its a dream come true for any student if ny one gets seat over there.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLwu4oSjSYOpggnnxcf9X-62ivabght1iKsOwVD4PVK=w54-h54-p-rp-mo-br100","Atul Dhakne","6 reviews","","","5 years ago","In IIT bombay TECHFEST 2k18.   I have  attended an Workshop Automobile Mechanics till  now  i  haven't got my Certificate.... So interested students for techfest 2k19 do not participate in any event of TECHFEST.... Worst event  i  have seen …","More","","","","Like","13","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUcyJtysNpRSd5I48vLkM4c8RvV2vhKfiwI2vLJmbMpVf4=w54-h54-p-rp-mo-br100","Shashank AC-1385","5 reviews · 5 photos","","","7 years ago","I just want to do my post graduation from the India's most leading,tecnical institute IIT Bombay.....This is my biggest dream . Right now I m completing my BE from my home town.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVhEQllXnQfXSaq90TJ70qrfSlJWcYxPxFlbepNS7zimA=w54-h54-p-rp-mo-ba5-br100","Shevin Vinoy","Local Guide · 51 reviews · 216 photos","","","4 years ago","It's a top ranking institution among all IITs
Good infrastructure.
@Powai. Been there during TechFest.","","","","","Like","1","","Share","",""
